"DATE","HOTEL_ID","COUNTRY","HOTEL_STARS","ROOM_PRICE","ROOM_COST","LOS","DTA","BOOKING_DOW","CHECK_IN_DOW"
2019-05-20,113297,"US",3,346.82,329.06916,3,6,"Tue","Mon"
2019-05-24,480409,"US",2,97.78,89.3,1,0,"Fri","Fri"
2019-05-20,207794,"US",2,83.99,82.44663,1,0,"Tue","Mon"
2019-05-30,449797,"US",4,617.81,534.45,3,2,"Thu","Sat"
2019-05-31,264689,"US",2,288.12,240.41,2,0,"Fri","Fri"
2019-05-20,264689,"US",2,290.65,242.47,2,4,"Tue","Sat"
2019-05-20,264689,"US",2,290.91,250.09,2,4,"Tue","Sat"
2019-05-29,118518,"US",3,109.25,99,1,0,"Wed","Wed"
2019-05-24,206783,"US",2,113.46,110.17748,1,0,"Fri","Fri"
2019-05-10,333601,"US",2,72.28,66.99,1,0,"Sat","Fri"
2019-05-17,108073,"US",2,82.53,75.97,1,0,"Fri","Fri"
2019-05-26,122065,"US",3,112.37,102.05,1,0,"Sun","Sun"
2019-05-23,122065,"US",3,137.53,124,1,1,"Fri","Sat"
2019-05-31,122110,"US",4,104.28,94.97,1,0,"Fri","Fri"
2019-05-26,122110,"US",4,96.72,82.97,1,0,"Sun","Sun"
2019-05-23,122110,"US",4,229.72,187.98,2,1,"Thu","Fri"
2019-05-23,122110,"US",4,218.28,191.98,2,0,"Thu","Thu"
2019-05-29,117029,"US",2,66.21,56.19,1,0,"Wed","Wed"
2019-05-29,124577,"US",3,174.47,156.07,1,7,"Thu","Thu"
2019-05-27,124577,"US",3,182.46,163,1,0,"Mon","Mon"
2019-05-30,201269,"US",2,64.33,60.03,1,0,"Thu","Thu"
2019-05-10,201269,"US",2,61.78,57.79,1,0,"Fri","Fri"
2019-05-30,169155,"US",3,216.14,190.41,2,1,"Thu","Fri"
2019-05-31,213261,"US",2,92.42,84.6,1,8,"Fri","Sat"
2019-05-15,112129,"US",2,60.59,56.75,1,0,"Thu","Thu"
2019-05-14,112129,"US",2,60.59,56.75,1,0,"Tue","Tue"
2019-05-23,264609,"US",2,102.22,89.23,1,10,"Thu","Sun"
2019-05-23,659205,"US",3,93.88,85.9,1,0,"Thu","Thu"
2019-05-09,120761,"US",4,354.26,311.14,2,21,"Fri","Fri"
2019-05-14,217669,"US",4,389.17,352.62,2,9,"Tue","Thu"
2019-05-14,217669,"US",4,200.63,178.76,1,10,"Wed","Sat"
2019-05-24,217669,"US",4,225.17,200,1,1,"Fri","Sat"
2019-05-29,217669,"US",4,453.38,395.5,2,2,"Wed","Fri"
2019-05-23,217669,"US",4,224.05,197.75,1,2,"Thu","Sat"
2019-05-10,217669,"US",4,404.02,353.51,2,0,"Sat","Fri"
2019-05-24,619122,"US",2,95.13,86.87,1,0,"Fri","Fri"
2019-05-28,619122,"US",2,307.8,269.67,3,1,"Wed","Thu"
2019-05-28,465651,"US",3,151.3,135.93,1,0,"Wed","Tue"
2019-05-20,465651,"US",3,379.25,327,2,1,"Mon","Tue"
2019-05-15,209375,"US",2,74.14,68.62,1,0,"Wed","Wed"
2019-05-22,209375,"US",2,74.28,63.92,1,0,"Wed","Wed"
2019-05-21,209375,"US",2,74.32,65.12,1,0,"Wed","Tue"
2019-05-22,113114,"US",3,129.52,117,1,3,"Thu","Sun"
2019-05-18,273128,"US",2,65.43,61,1,0,"Sat","Sat"
2019-05-11,202500,"US",1,57.59,57.70983,1,0,"Sun","Sun"
2019-05-11,202500,"US",1,52.9,50.01,1,0,"Sat","Sat"
2019-05-18,106525,"US",2,91.03,83,1,0,"Sun","Sat"
2019-05-31,117900,"US",4,186.39,160.74,1,0,"Fri","Fri"
2019-05-30,117900,"US",4,135.28,122,1,0,"Thu","Thu"
2019-05-18,117900,"US",4,328.55,311.9319,3,25,"Mon","Fri"
2019-05-16,117900,"US",4,98.17,81.97,1,0,"Thu","Thu"
2019-05-23,117900,"US",4,149.92,134.74,1,23,"Thu","Sat"
